Level,Date and Time,Source,Event ID,Task Category, Description
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.718
ProcessGuid: {22a2695c-4041-6429-43e9-000000006e00}
ProcessId: 10648
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
User: NT AUTHORITY\SYSTEM"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.709
ProcessGuid: {22a2695c-4041-6429-43e9-000000006e00}
ProcessId: 10648
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
FileVersion: 9.0.4.1
Description: splunk-optimize
Product: splunk Application
Company: Splunk Inc.
OriginalFileName: splunk-optimize.exe
CommandLine: splunk-optimize -d ""C:\Program Files\Splunk\var\lib\splunk\_metrics\db\hot_v1_7"" -x 18013725184 --log-to--splunkd-log --write-level 3 --tsidx-target-size 1572864000 --msidx-comp-block-size 1024
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {22a2695c-0147-6428-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=090AB6E27522C5B37069983CDBB2F55248153A3FD9602DF223134ACBD59FD742
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 4840
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.704
ProcessGuid: {22a2695c-4041-6429-42e9-000000006e00}
ProcessId: 26032
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
User: NT AUTHORITY\SYSTEM"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.693
ProcessGuid: {22a2695c-4041-6429-42e9-000000006e00}
ProcessId: 26032
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
FileVersion: 9.0.4.1
Description: splunk-optimize
Product: splunk Application
Company: Splunk Inc.
OriginalFileName: splunk-optimize.exe
CommandLine: splunk-optimize -d ""C:\Program Files\Splunk\var\lib\splunk\_metrics\db\hot_v1_6"" -x 18013725184 --log-to--splunkd-log --write-level 3 --tsidx-target-size 1572864000 --msidx-comp-block-size 1024
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {22a2695c-0147-6428-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=090AB6E27522C5B37069983CDBB2F55248153A3FD9602DF223134ACBD59FD742
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 4840
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.689
ProcessGuid: {22a2695c-4041-6429-41e9-000000006e00}
ProcessId: 25844
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
User: NT AUTHORITY\SYSTEM"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.679
ProcessGuid: {22a2695c-4041-6429-41e9-000000006e00}
ProcessId: 25844
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
FileVersion: 9.0.4.1
Description: splunk-optimize
Product: splunk Application
Company: Splunk Inc.
OriginalFileName: splunk-optimize.exe
CommandLine: splunk-optimize -d ""C:\Program Files\Splunk\var\lib\splunk\_metrics\db\hot_v1_5"" -x 18013725184 --log-to--splunkd-log --write-level 3 --tsidx-target-size 1572864000 --msidx-comp-block-size 1024
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {22a2695c-0147-6428-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=090AB6E27522C5B37069983CDBB2F55248153A3FD9602DF223134ACBD59FD742
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 4840
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.661
ProcessGuid: {22a2695c-4041-6429-40e9-000000006e00}
ProcessId: 23760
Image: C:\Windows\System32\conhost.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.657
ProcessGuid: {22a2695c-4041-6429-3fe9-000000006e00}
ProcessId: 14180
Image: C:\Windows\System32\lxss\wslhost.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:45.649
ProcessGuid: {22a2695c-4041-6429-3ee9-000000006e00}
ProcessId: 23532
Image: C:\Windows\System32\wsl.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.573
ProcessGuid: {22a2695c-4041-6429-40e9-000000006e00}
ProcessId: 23760
Image: C:\Windows\System32\conhost.exe
FileVersion: 10.0.19041.2546 (WinBuild.160101.0800)
Description: Console Window Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: CONHOST.EXE
CommandLine: \??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1
CurrentDirectory: C:\WINDOWS
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=A26A1FFB81A61281FFA55CB7778CC3FB0FF981704DE49F75F51F18B283FBA7A2
ParentProcessGuid: {22a2695c-4041-6429-3fe9-000000006e00}
ParentProcessId: 14180
ParentImage: C:\Windows\System32\lxss\wslhost.exe
ParentCommandLine: C:\WINDOWS\system32\lxss\wslhost.exe {95147f4a-eee3-4770-bd10-0bb18962c0ea} 792 812 816 {1bd0db17-f179-4a8d-ab5a-afeaeb38f5d5}
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.568
ProcessGuid: {22a2695c-4041-6429-3fe9-000000006e00}
ProcessId: 14180
Image: C:\Windows\System32\lxss\wslhost.exe
FileVersion: 10.0.19041.2311 (WinBuild.160101.0800)
Description: Microsoft Windows Subsystem for Linux Background Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wslhost.exe
CommandLine: C:\WINDOWS\system32\lxss\wslhost.exe {95147f4a-eee3-4770-bd10-0bb18962c0ea} 792 812 816 {1bd0db17-f179-4a8d-ab5a-afeaeb38f5d5}
CurrentDirectory: C:\Users\iniad\AppData\Roaming\Docker\
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=D9E607F64643812EDB102CE26AF0BB0E9BEB180E44F0F28F791941BF2208CA78
ParentProcessGuid: {22a2695c-4041-6429-3ee9-000000006e00}
ParentProcessId: 23532
ParentImage: C:\Windows\System32\wsl.exe
ParentCommandLine: C:\WINDOWS\system32\wsl.exe  -d docker-desktop cat /proc/stat
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:45,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:45.522
ProcessGuid: {22a2695c-4041-6429-3ee9-000000006e00}
ProcessId: 23532
Image: C:\Windows\System32\wsl.exe
FileVersion: 10.0.19041.2311 (WinBuild.160101.0800)
Description: Microsoft Windows Subsystem for Linux Launcher
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wsl.exe
CommandLine: C:\WINDOWS\system32\wsl.exe  -d docker-desktop cat /proc/stat
CurrentDirectory: C:\Users\iniad\AppData\Roaming\Docker\
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=070F414025D984C0799A616B459FEBC99EBC7B6F9D6C3B76E0D4E2E1F22266C2
ParentProcessGuid: {22a2695c-2190-6429-055d-000000006e00}
ParentProcessId: 16796
ParentImage: C:\Program Files\Docker\Docker\resources\com.docker.backend.exe
ParentCommandLine: ""C:\Program Files\Docker\Docker\resources\com.docker.backend.exe"" -addr unix:\\.\pipe\dockerBackendApiServer -native-api
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:44.504
ProcessGuid: {22a2695c-4040-6429-3de9-000000006e00}
ProcessId: 23264
Image: C:\Windows\System32\conhost.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:44.498
ProcessGuid: {22a2695c-4040-6429-3ce9-000000006e00}
ProcessId: 18204
Image: C:\Windows\System32\lxss\wslhost.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:44.491
ProcessGuid: {22a2695c-4040-6429-3be9-000000006e00}
ProcessId: 16020
Image: C:\Windows\System32\wsl.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:44.414
ProcessGuid: {22a2695c-4040-6429-3de9-000000006e00}
ProcessId: 23264
Image: C:\Windows\System32\conhost.exe
FileVersion: 10.0.19041.2546 (WinBuild.160101.0800)
Description: Console Window Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: CONHOST.EXE
CommandLine: \??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1
CurrentDirectory: C:\WINDOWS
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=A26A1FFB81A61281FFA55CB7778CC3FB0FF981704DE49F75F51F18B283FBA7A2
ParentProcessGuid: {22a2695c-4040-6429-3ce9-000000006e00}
ParentProcessId: 18204
ParentImage: C:\Windows\System32\lxss\wslhost.exe
ParentCommandLine: C:\WINDOWS\system32\lxss\wslhost.exe {95147f4a-eee3-4770-bd10-0bb18962c0ea} 792 812 816 {1bd0db17-f179-4a8d-ab5a-afeaeb38f5d5}
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:44.409
ProcessGuid: {22a2695c-4040-6429-3ce9-000000006e00}
ProcessId: 18204
Image: C:\Windows\System32\lxss\wslhost.exe
FileVersion: 10.0.19041.2311 (WinBuild.160101.0800)
Description: Microsoft Windows Subsystem for Linux Background Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wslhost.exe
CommandLine: C:\WINDOWS\system32\lxss\wslhost.exe {95147f4a-eee3-4770-bd10-0bb18962c0ea} 792 812 816 {1bd0db17-f179-4a8d-ab5a-afeaeb38f5d5}
CurrentDirectory: C:\Users\iniad\AppData\Roaming\Docker\
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=D9E607F64643812EDB102CE26AF0BB0E9BEB180E44F0F28F791941BF2208CA78
ParentProcessGuid: {22a2695c-4040-6429-3be9-000000006e00}
ParentProcessId: 16020
ParentImage: C:\Windows\System32\wsl.exe
ParentCommandLine: C:\WINDOWS\system32\wsl.exe  -d docker-desktop cat /proc/stat
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:44.368
ProcessGuid: {22a2695c-4040-6429-3ae9-000000006e00}
ProcessId: 10360
Image: C:\Windows\System32\conhost.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:44.364
ProcessGuid: {22a2695c-4040-6429-39e9-000000006e00}
ProcessId: 24912
Image: C:\Windows\System32\lxss\wslhost.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:44.362
ProcessGuid: {22a2695c-4040-6429-3be9-000000006e00}
ProcessId: 16020
Image: C:\Windows\System32\wsl.exe
FileVersion: 10.0.19041.2311 (WinBuild.160101.0800)
Description: Microsoft Windows Subsystem for Linux Launcher
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wsl.exe
CommandLine: C:\WINDOWS\system32\wsl.exe  -d docker-desktop cat /proc/stat
CurrentDirectory: C:\Users\iniad\AppData\Roaming\Docker\
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=070F414025D984C0799A616B459FEBC99EBC7B6F9D6C3B76E0D4E2E1F22266C2
ParentProcessGuid: {22a2695c-2190-6429-055d-000000006e00}
ParentProcessId: 16796
ParentImage: C:\Program Files\Docker\Docker\resources\com.docker.backend.exe
ParentCommandLine: ""C:\Program Files\Docker\Docker\resources\com.docker.backend.exe"" -addr unix:\\.\pipe\dockerBackendApiServer -native-api
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:44.355
ProcessGuid: {22a2695c-4040-6429-38e9-000000006e00}
ProcessId: 22604
Image: C:\Windows\System32\wsl.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:44.275
ProcessGuid: {22a2695c-4040-6429-3ae9-000000006e00}
ProcessId: 10360
Image: C:\Windows\System32\conhost.exe
FileVersion: 10.0.19041.2546 (WinBuild.160101.0800)
Description: Console Window Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: CONHOST.EXE
CommandLine: \??\C:\WINDOWS\system32\conhost.exe 0xffffffff -ForceV1
CurrentDirectory: C:\WINDOWS
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=A26A1FFB81A61281FFA55CB7778CC3FB0FF981704DE49F75F51F18B283FBA7A2
ParentProcessGuid: {22a2695c-4040-6429-39e9-000000006e00}
ParentProcessId: 24912
ParentImage: C:\Windows\System32\lxss\wslhost.exe
ParentCommandLine: C:\WINDOWS\system32\lxss\wslhost.exe {95147f4a-eee3-4770-bd10-0bb18962c0ea} 784 804 764 {1bd0db17-f179-4a8d-ab5a-afeaeb38f5d5}
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:44.270
ProcessGuid: {22a2695c-4040-6429-39e9-000000006e00}
ProcessId: 24912
Image: C:\Windows\System32\lxss\wslhost.exe
FileVersion: 10.0.19041.2311 (WinBuild.160101.0800)
Description: Microsoft Windows Subsystem for Linux Background Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wslhost.exe
CommandLine: C:\WINDOWS\system32\lxss\wslhost.exe {95147f4a-eee3-4770-bd10-0bb18962c0ea} 784 804 764 {1bd0db17-f179-4a8d-ab5a-afeaeb38f5d5}
CurrentDirectory: C:\Users\iniad\AppData\Roaming\Docker\
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=D9E607F64643812EDB102CE26AF0BB0E9BEB180E44F0F28F791941BF2208CA78
ParentProcessGuid: {22a2695c-4040-6429-38e9-000000006e00}
ParentProcessId: 22604
ParentImage: C:\Windows\System32\wsl.exe
ParentCommandLine: C:\WINDOWS\system32\wsl.exe  -d docker-desktop cat /proc/meminfo
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:44,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:44.224
ProcessGuid: {22a2695c-4040-6429-38e9-000000006e00}
ProcessId: 22604
Image: C:\Windows\System32\wsl.exe
FileVersion: 10.0.19041.2311 (WinBuild.160101.0800)
Description: Microsoft Windows Subsystem for Linux Launcher
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: wsl.exe
CommandLine: C:\WINDOWS\system32\wsl.exe  -d docker-desktop cat /proc/meminfo
CurrentDirectory: C:\Users\iniad\AppData\Roaming\Docker\
User: DESKTOP-61BPDT0\iniad
LogonGuid: {22a2695c-014a-6428-81ce-030000000000}
LogonId: 0x3CE81
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=070F414025D984C0799A616B459FEBC99EBC7B6F9D6C3B76E0D4E2E1F22266C2
ParentProcessGuid: {22a2695c-2190-6429-055d-000000006e00}
ParentProcessId: 16796
ParentImage: C:\Program Files\Docker\Docker\resources\com.docker.backend.exe
ParentCommandLine: ""C:\Program Files\Docker\Docker\resources\com.docker.backend.exe"" -addr unix:\\.\pipe\dockerBackendApiServer -native-api
ParentUser: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:43,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:43.188
ProcessGuid: {22a2695c-3feb-6429-98e7-000000006e00}
ProcessId: 12380
Image: C:\Windows\System32\backgroundTaskHost.exe
User: DESKTOP-61BPDT0\iniad"
Information,2023/04/02 17:43:40,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-02 08:43:40.731
ProcessGuid: {22a2695c-403c-6429-37e9-000000006e00}
ProcessId: 21408
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
User: NT AUTHORITY\SYSTEM"
Information,2023/04/02 17:43:40,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-02 08:43:40.701
ProcessGuid: {22a2695c-403c-6429-37e9-000000006e00}
ProcessId: 21408
Image: C:\Program Files\Splunk\bin\splunk-optimize.exe
FileVersion: 9.0.4.1
Description: splunk-optimize
Product: splunk Application
Company: Splunk Inc.
OriginalFileName: splunk-optimize.exe
CommandLine: splunk-optimize -d ""C:\Program Files\Splunk\var\lib\splunk\_internaldb\db\hot_v1_1"" -x 18013756416 --log-to--splunkd-log --write-level 3 --tsidx-target-size 1572864000 --msidx-comp-block-size 1024
CurrentDirectory: C:\WINDOWS\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {22a2695c-0147-6428-e703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=090AB6E27522C5B37069983CDBB2F55248153A3FD9602DF223134ACBD59FD742
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 4840
ParentImage: -
ParentCommandLine: -
ParentUser: -"
