Level,Date and Time,Source,Event ID,Task Category
Information,4/17/2023 11:22:26 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:26.513
ProcessGuid: {2048537D-AD62-643C-0701-000000000B00}
ProcessId: 2236
Image: C:\Windows\System32\dllhost.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: COM Surrogate
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: dllhost.exe
CommandLine: C:\Windows\system32\DllHost.exe /Processid:{E10F6C3A-F1AE-4ADC-AA9D-2FE65525666E}
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=EE8364C07B3F4F71FA649E0E6C4C73C15D285130E4B16E79890EEBBF89C2164E
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 732
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:26 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:26.504
ProcessGuid: {2048537D-AD62-643C-0501-000000000B00}
ProcessId: 2464
Image: C:\Windows\System32\consent.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:26 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:26.498
ProcessGuid: {2048537D-AD62-643C-0601-000000000B00}
ProcessId: 6052
Image: C:\Windows\System32\dllhost.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: COM Surrogate
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: dllhost.exe
CommandLine: C:\Windows\system32\DllHost.exe /Processid:{E10F6C3A-F1AE-4ADC-AA9D-2FE65525666E}
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 1
IntegrityLevel: System
Hashes: SHA256=EE8364C07B3F4F71FA649E0E6C4C73C15D285130E4B16E79890EEBBF89C2164E
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 732
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:26 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:26.464
ProcessGuid: {2048537D-AD62-643C-0501-000000000B00}
ProcessId: 2464
Image: C:\Windows\System32\consent.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Consent UI for administrative applications
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: consent.exe
CommandLine: consent.exe 1236 426 000001ACBC6DCFB0
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 1
IntegrityLevel: System
Hashes: SHA256=8B1522BA0FE25D268781C2DF68BAE2BA4991D5BD02F161E61DE1B9194AE54DFA
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 1236
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:26 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:26.393
ProcessGuid: {2048537D-AD4F-643C-0001-000000000B00}
ProcessId: 6088
Image: C:\Windows\System32\AtBroker.exe
User: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:26 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:26.399
ProcessGuid: {2048537D-AD62-643C-0401-000000000B00}
ProcessId: 6088
Image: C:\Windows\System32\mmc.exe
FileVersion: 10.0.14393.953 (rs1_release_inmarket.170303-1614)
Description: Microsoft Management Console
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: mmc.exe
CommandLine: ""C:\Windows\system32\mmc.exe"" ""C:\Windows\system32\eventvwr.msc"" /s
CurrentDirectory: C:\Windows\system32\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-5471-310000000000}
LogonId: 0x317154
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=6A9BDBFCF4E2DB18F62C55A46C0C94B765165DA150DA6E8E0A87C740C71887BB
ParentProcessGuid: {2048537D-A037-643C-A700-000000000B00}
ParentProcessId: 1928
ParentImage: C:\Windows\explorer.exe
ParentCommandLine: C:\Windows\Explorer.EXE
ParentUser: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:12 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:12.521
ProcessGuid: {2048537D-AD4E-643C-FD00-000000000B00}
ProcessId: 5796
Image: C:\Windows\System32\TSTheme.exe
User: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:07 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:07.949
ProcessGuid: {2048537D-AD4F-643C-0301-000000000B00}
ProcessId: 6704
Image: C:\Windows\System32\dllhost.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: COM Surrogate
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: dllhost.exe
CommandLine: C:\Windows\system32\DllHost.exe /Processid:{133EAC4F-5891-4D04-BADA-D84870380A80}
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=EE8364C07B3F4F71FA649E0E6C4C73C15D285130E4B16E79890EEBBF89C2164E
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 732
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:07 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:07.940
ProcessGuid: {2048537D-AD4F-643C-0201-000000000B00}
ProcessId: 5848
Image: C:\Windows\System32\taskhostw.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Host Process for Windows Tasks
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: taskhostw.exe
CommandLine: taskhostw.exe
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=A0A677D6C943AD1A7BC1879DFCCB400211DF68100F8EDD7BA6120067A18BEE0B
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 1236
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:07 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:07.626
ProcessGuid: {2048537D-ACB5-643C-F200-000000000B00}
ProcessId: 5504
Image: C:\Windows\SystemApps\Microsoft.LockApp_cw5n1h2txyewy\LockApp.exe
User: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:07 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:07.407
ProcessGuid: {2048537D-AD4F-643C-0101-000000000B00}
ProcessId: 4404
Image: C:\Windows\System32\taskhostw.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:07 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:07.399
ProcessGuid: {2048537D-AD4F-643C-0101-000000000B00}
ProcessId: 4404
Image: C:\Windows\System32\taskhostw.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Host Process for Windows Tasks
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: taskhostw.exe
CommandLine: taskhostw.exe NGCKeyPregen
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 0
IntegrityLevel: System
Hashes: SHA256=A0A677D6C943AD1A7BC1879DFCCB400211DF68100F8EDD7BA6120067A18BEE0B
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 1236
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:07 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:07.236
ProcessGuid: {2048537D-AD4F-643C-0001-000000000B00}
ProcessId: 6088
Image: C:\Windows\System32\AtBroker.exe
User: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:07 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:07.227
ProcessGuid: {2048537D-AD4F-643C-0001-000000000B00}
ProcessId: 6088
Image: C:\Windows\System32\AtBroker.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Windows Assistive Technology Manager
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: ATBroker.exe
CommandLine: atbroker.exe
CurrentDirectory: C:\Windows\system32\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-5471-310000000000}
LogonId: 0x317154
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=A84417EE9D039891AF43B267896DB921A40838D8A17CC1BE29785D031E5944D4
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 508
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:07 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:07.220
ProcessGuid: {2048537D-ACB5-643C-EF00-000000000B00}
ProcessId: 6364
Image: C:\Windows\System32\LogonUI.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:06.970
ProcessGuid: {2048537D-AD4E-643C-FF00-000000000B00}
ProcessId: 240
Image: C:\Windows\system32\taskhostw.exe
User: EXAMPLECOMPANY\admin"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:06.974
ProcessGuid: {2048537D-AD4E-643C-FF00-000000000B00}
ProcessId: 240
Image: C:\Windows\System32\taskhostw.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Host Process for Windows Tasks
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: taskhostw.exe
CommandLine: taskhostw.exe KEYROAMING
CurrentDirectory: C:\Windows\system32\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-5471-310000000000}
LogonId: 0x317154
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=A0A677D6C943AD1A7BC1879DFCCB400211DF68100F8EDD7BA6120067A18BEE0B
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 1236
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:06.814
ProcessGuid: {2048537D-AD4D-643C-F400-000000000B00}
ProcessId: 6320
Image: C:\Windows\System32\csrss.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:06.798
ProcessGuid: {2048537D-AD4D-643C-F500-000000000B00}
ProcessId: 5004
Image: C:\Windows\System32\winlogon.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:06.798
ProcessGuid: {2048537D-AD4E-643C-F700-000000000B00}
ProcessId: 3656
Image: C:\Windows\System32\dwm.exe
User: Window Manager\DWM-2"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:06.767
ProcessGuid: {2048537D-AD4E-643C-F600-000000000B00}
ProcessId: 5212
Image: C:\Windows\System32\LogonUI.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:06.643
ProcessGuid: {2048537D-AD4E-643C-FE00-000000000B00}
ProcessId: 628
Image: C:\Windows\System32\rdpclip.exe
FileVersion: 10.0.14393.1198 (rs1_release_sec.170427-1353)
Description: RDP Clipboard Monitor
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: rdpclip.exe
CommandLine: rdpclip
CurrentDirectory: C:\Windows\system32\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-5471-310000000000}
LogonId: 0x317154
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=577AAEF9E563631117E84D3D7DF577CED90799D58B8A25CF286B24C68EF64F3C
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 920
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:06.476
ProcessGuid: {2048537D-AD4E-643C-FD00-000000000B00}
ProcessId: 5796
Image: C:\Windows\System32\TSTheme.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: TSTheme Server Module
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: TSThemeS.exe
CommandLine: C:\Windows\system32\TSTheme.exe -Embedding
CurrentDirectory: C:\Windows\system32\
User: EXAMPLECOMPANY\admin
LogonGuid: {2048537D-A037-643C-5471-310000000000}
LogonId: 0x317154
TerminalSessionId: 1
IntegrityLevel: Medium
Hashes: SHA256=5EDB8F164B5CACAEFC551E3D0EA0971E5DA1AB144AB66FE429BC7E5DCB2FCC3C
ParentProcessGuid: {00000000-0000-0000-0000-000000000000}
ParentProcessId: 732
ParentImage: -
ParentCommandLine: -
ParentUser: -"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:06.397
ProcessGuid: {2048537D-AD4E-643C-FC00-000000000B00}
ProcessId: 5544
Image: C:\Windows\System32\dwm.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Desktop Window Manager
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: dwm.exe
CommandLine: ""dwm.exe""
CurrentDirectory: C:\Windows\system32\
User: Window Manager\DWM-3
LogonGuid: {2048537D-AD4E-643C-0B32-3C0000000000}
LogonId: 0x3C320B
TerminalSessionId: 3
IntegrityLevel: System
Hashes: SHA256=B3E37997C1C62DD90D69EF83D6A6FC782BF9A5B8AD04A0D1528A8B7FA31AA408
ParentProcessGuid: {2048537D-AD4E-643C-FA00-000000000B00}
ParentProcessId: 6040
ParentImage: C:\Windows\System32\winlogon.exe
ParentCommandLine: winlogon.exe
ParentUser: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:06.364
ProcessGuid: {2048537D-AD4E-643C-FB00-000000000B00}
ProcessId: 2920
Image: C:\Windows\System32\LogonUI.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Windows Logon User Interface Host
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: logonui.exe
CommandLine: ""LogonUI.exe"" /flags:0x0 /state0:0xa39f6055 /state1:0x41c64e6d
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 3
IntegrityLevel: System
Hashes: SHA256=AA62D29803D52EC06CD27ED3124E034048F09606EB7342181913C9817C7B44C5
ParentProcessGuid: {2048537D-AD4E-643C-FA00-000000000B00}
ParentProcessId: 6040
ParentImage: C:\Windows\System32\winlogon.exe
ParentCommandLine: winlogon.exe
ParentUser: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,5,Process terminated (rule: ProcessTerminate),"Process terminated:
RuleName: -
UtcTime: 2023-04-17 02:22:06.298
ProcessGuid: {2048537D-AD4E-643C-F800-000000000B00}
ProcessId: 5932
Image: C:\Windows\System32\smss.exe
User: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:06.306
ProcessGuid: {2048537D-AD4E-643C-FA00-000000000B00}
ProcessId: 6040
Image: C:\Windows\System32\winlogon.exe
FileVersion: 10.0.14393.1378 (rs1_release.170620-2008)
Description: Windows Logon Application
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: WINLOGON.EXE
CommandLine: winlogon.exe
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 3
IntegrityLevel: System
Hashes: SHA256=8EF0C90DAD9BAD0B82EF9CFEC8C0CDA03C64A4BEC252DDD4753F3123DA757351
ParentProcessGuid: {2048537D-AD4E-643C-F800-000000000B00}
ParentProcessId: 5932
ParentImage: C:\Windows\System32\smss.exe
ParentCommandLine: \SystemRoot\System32\smss.exe 000000ec 0000007c 
ParentUser: NT AUTHORITY\SYSTEM"
Information,4/17/2023 11:22:06 AM,Microsoft-Windows-Sysmon,1,Process Create (rule: ProcessCreate),"Process Create:
RuleName: -
UtcTime: 2023-04-17 02:22:06.297
ProcessGuid: {2048537D-AD4E-643C-F900-000000000B00}
ProcessId: 5280
Image: C:\Windows\System32\csrss.exe
FileVersion: 10.0.14393.0 (rs1_release.160715-1616)
Description: Client Server Runtime Process
Product: Microsoft® Windows® Operating System
Company: Microsoft Corporation
OriginalFileName: CSRSS.Exe
CommandLine: %%SystemRoot%%\system32\csrss.exe ObjectDirectory=\Windows SharedSection=1024,20480,768 Windows=On SubSystemType=Windows ServerDll=basesrv,1 ServerDll=winsrv:UserServerDllInitialization,3 ServerDll=sxssrv,4 ProfileControl=Off MaxRequestThreads=16
CurrentDirectory: C:\Windows\system32\
User: NT AUTHORITY\SYSTEM
LogonGuid: {2048537D-962F-643A-E703-000000000000}
LogonId: 0x3E7
TerminalSessionId: 3
IntegrityLevel: System
Hashes: SHA256=151189510070B06A3ECF5B6A8612CC45748676A579B9B4D877F5BE3EB1971082
ParentProcessGuid: {2048537D-AD4E-643C-F800-000000000B00}
ParentProcessId: 5932
ParentImage: C:\Windows\System32\smss.exe
ParentCommandLine: \SystemRoot\System32\smss.exe 000000ec 0000007c 
ParentUser: NT AUTHORITY\SYSTEM"
